127.0.0.1 - - [18/Dec/2023:13:47:39 +0200] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:47:41 +0200] "GET /ProjectLibary/LoginSuccess.jsp HTTP/1.1" 500 2387
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:47:41 +0200] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:49:28 +0200] "GET /ProjectLibary/ HTTP/1.1" 200 1080
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:49:46 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:50:17 +0200] "POST /ProjectLibary/registration/controller/MainServlet HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:53:54 +0200] "GET /ProjectLibary/ HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:54:10 +0200] "GET /ProjectLibary/ HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:55:15 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:55:59 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:56:17 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:06:02 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:06:04 +0200] "GET /ProjectLibary/ HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:06:05 +0200] "GET /ProjectLibary/ HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:06:05 +0200] "GET /ProjectLibary/ HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:06:15 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:06:18 +0200] "POST /ProjectLibary/registration/controller/MainServlet HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:10:07 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:10:07 +0200] "GET /ProjectLibary/ HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:10:16 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:10:22 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:10:27 +0200] "POST /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:10:29 +0200] "POST /ProjectLibary/registration/controller/MainServlet HTTP/1.1" 404 813
