127.0.0.1 - - [29/Jan/2024:12:06:35 +0200] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:06:37 +0200] "GET /ProjectLibary/registration/controller/StudentServlet HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:06:37 +0200] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:06:40 +0200] "GET /ProjectLibary/LoginStudent.jsp? HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:06:43 +0200] "GET /ProjectLibary/registration/controller/StudentServlet?userName=a&password=a&type=student HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:06:46 +0200] "GET /ProjectLibary/registration/controller/HistoryServlet?idPerson=38&type=student HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:06:47 +0200] "GET /ProjectLibary/HomePage.jsp?mainPage=Go+to+Main+Page... HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:06:49 +0200] "GET /ProjectLibary/LoginStudent.jsp? HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:06:52 +0200] "GET /ProjectLibary/registration/controller/StudentServlet?userName=a&password=a&type=student HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:07:02 +0200] "GET /ProjectLibary/registration/controller/HistoryServlet?idPerson=38&type=student HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:07:04 +0200] "GET /ProjectLibary/HomePage.jsp?mainPage=Go+to+Main+Page... HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:07:06 +0200] "GET /ProjectLibary/LoginTeacher.jsp? HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [29/Jan/2024:12:07:08 +0200] "GET /ProjectLibary/registration/controller/TeacherServlet?userName=a&password=a&type=teacher HTTP/1.1" 200 1576
